replName,timestamp,timeWorked,lineItemLabel,lineItemAmount,totalAgentUsage
Replit-Export-Tool,,2 minutes,Total,0.33,0.33
Replit-Export-Tool,,13 seconds,Total,0.06,0.06
Replit-Export-Tool,,6 minutes,Total,1.55,1.55
Replit-Export-Tool,,16 seconds,Total,0.36,0.36
Replit-Export-Tool,,15 seconds,Total,0.36,0.36
Replit-Export-Tool,,1 minute,Total,1.22,1.22
Replit-Export-Tool,,37 seconds,Total,0.38,0.38
Replit-Export-Tool,,2 minutes,Total,1.26,1.26
Replit-Export-Tool,,11 seconds,Total,0.29,0.29
Replit-Export-Tool,,16 seconds,Total,0.3,0.3
Replit-Export-Tool,,1 minute,Total,0.83,0.83
Replit-Export-Tool,,12 seconds,Total,0.37,0.37
Replit-Export-Tool,,23 seconds,Total,0.11,0.11
Replit-Export-Tool,,23 seconds,Total,0.12,0.12
Replit-Export-Tool,,17 seconds,Total,0.42,0.42
Replit-Export-Tool,,3 minutes,Total,1.5,1.5
Replit-Export-Tool,,29 seconds,Total,0.25,0.25
Replit-Export-Tool,,4 minutes,Total,1.61,1.61
Replit-Export-Tool,,43 seconds,Total,0.31,0.31
Replit-Export-Tool,,1 minute,Total,0.38,0.38
Replit-Export-Tool,,18 seconds,Total,0.25,0.25
Replit-Export-Tool,,1 minute,Total,0.44,0.44
Replit-Export-Tool,,46 seconds,Total,0.45,0.45
Replit-Export-Tool,,46 seconds,Total,0.2,0.2
Replit-Export-Tool,,1 minute,Total,0.72,0.72
Replit-Export-Tool,,48 seconds,Total,0.32,0.32
Replit-Export-Tool,,10 minutes,Total,4.73,4.73
Replit-Export-Tool,,27 seconds,Total,0.2,0.2
Replit-Export-Tool,,3 minutes,Total,1.31,1.31
Replit-Export-Tool,,5 seconds,Total,0.31,0.31
Replit-Export-Tool,,1 minute,Total,0.8,0.8
Replit-Export-Tool,,46 seconds,Total,0.46,0.46
Replit-Export-Tool,,5 minutes,Total,2.57,2.57
Replit-Export-Tool,,25 seconds,Total,0.3,0.3
Replit-Export-Tool,,23 seconds,Total,0.31,0.31
Replit-Export-Tool,,17 seconds,Total,0.06,0.06
Replit-Export-Tool,,7 minutes,Total,2.93,2.93