replName,timestamp,timeWorked,workDoneActions,itemsReadLines,codeChangedPlus,codeChangedMinus,agentUsage
Replit-Export-Tool,"3:46 pm, Feb 03, 2026",2 minutes,19,518,117,158,0.33
Replit-Export-Tool,"3:46 pm, Feb 03, 2026",13 seconds,,,,,0.06
Replit-Export-Tool,"3:46 pm, Feb 03, 2026",6 minutes,17,116,1216,153,1.55
Replit-Export-Tool,"3:46 pm, Feb 03, 2026",16 seconds,,,,,0.36
Replit-Export-Tool,"3:46 pm, Feb 03, 2026",15 seconds,1,,,,0.36
Replit-Export-Tool,"3:46 pm, Feb 03, 2026",1 minute,6,441,89,14,1.22
Replit-Export-Tool,"3:46 pm, Feb 03, 2026",37 seconds,1,,,,0.38
Replit-Export-Tool,"3:46 pm, Feb 03, 2026",2 minutes,17,435,121,50,1.26
Replit-Export-Tool,"3:46 pm, Feb 03, 2026",11 seconds,,,,,0.29
Replit-Export-Tool,"3:46 pm, Feb 03, 2026",16 seconds,1,,,,0.3
Replit-Export-Tool,"3:46 pm, Feb 03, 2026",1 minute,8,170,158,154,0.83
Replit-Export-Tool,"3:46 pm, Feb 03, 2026",12 seconds,,,,,0.37
Replit-Export-Tool,"3:46 pm, Feb 03, 2026",23 seconds,,,,,0.11
Replit-Export-Tool,"3:46 pm, Feb 03, 2026",23 seconds,1,,,,0.12
Replit-Export-Tool,"3:46 pm, Feb 03, 2026",17 seconds,1,,,,0.42
Replit-Export-Tool,"3:46 pm, Feb 03, 2026",3 minutes,19,518,212,212,1.5
Replit-Export-Tool,"3:46 pm, Feb 03, 2026",29 seconds,1,,,,0.25
Replit-Export-Tool,"3:46 pm, Feb 03, 2026",4 minutes,21,490,374,230,1.61
Replit-Export-Tool,"3:46 pm, Feb 03, 2026",43 seconds,1,,,,0.31
Replit-Export-Tool,"3:46 pm, Feb 03, 2026",1 minute,6,100,135,65,0.38
Replit-Export-Tool,"3:46 pm, Feb 03, 2026",18 seconds,1,,,,0.25
Replit-Export-Tool,"3:46 pm, Feb 03, 2026",1 minute,8,220,66,46,0.44
Replit-Export-Tool,"3:46 pm, Feb 03, 2026",46 seconds,3,160,,,0.45
Replit-Export-Tool,"3:46 pm, Feb 03, 2026",46 seconds,4,30,,,0.2
Replit-Export-Tool,"3:46 pm, Feb 03, 2026",1 minute,6,50,43,43,0.72
Replit-Export-Tool,"3:46 pm, Feb 03, 2026",48 seconds,1,,,,0.32
Replit-Export-Tool,"3:46 pm, Feb 03, 2026",10 minutes,43,1569,463,250,4.73
Replit-Export-Tool,"3:46 pm, Feb 03, 2026",27 seconds,1,,,,0.2
Replit-Export-Tool,"3:46 pm, Feb 03, 2026",3 minutes,12,420,289,373,1.31
Replit-Export-Tool,"3:26 pm, Feb 07, 2026",9 minutes,,,,,
Replit-Export-Tool,"3:46 pm, Feb 03, 2026",5 seconds,,,,,0.31
Replit-Export-Tool,"3:46 pm, Feb 03, 2026",1 minute,8,1011,,,0.8
Replit-Export-Tool,"3:46 pm, Feb 03, 2026",46 seconds,1,,,,0.46
Replit-Export-Tool,,5 minutes,,,,,
Replit-Export-Tool,"3:46 pm, Feb 03, 2026",5 minutes,22,451,596,335,2.57
Replit-Export-Tool,"3:46 pm, Feb 03, 2026",25 seconds,1,,,,0.3
Replit-Export-Tool,"3:46 pm, Feb 03, 2026",2 minutes,,,,,
Replit-Export-Tool,"3:46 pm, Feb 03, 2026",23 seconds,1,,,,0.31
Replit-Export-Tool,"3:46 pm, Feb 03, 2026",17 seconds,1,,,,0.06
Replit-Export-Tool,"3:46 pm, Feb 03, 2026",7 minutes,17,1927,361,414,2.93
Replit-Export-Tool,"3:46 pm, Feb 03, 2026",20 seconds,1,,,,0.35
Replit-Export-Tool,"3:46 pm, Feb 03, 2026",21 seconds,1,,,,0.07
Replit-Export-Tool,"3:46 pm, Feb 03, 2026",10 minutes,33,2482,570,223,4.36
Replit-Export-Tool,"3:46 pm, Feb 03, 2026",44 seconds,1,,,,0.31
Replit-Export-Tool,"3:46 pm, Feb 03, 2026",5 minutes,30,327,137,130,1.98
Replit-Export-Tool,"3:46 pm, Feb 03, 2026",38 seconds,2,382,,,0.48
Replit-Export-Tool,"3:46 pm, Feb 03, 2026",4 minutes,19,500,279,168,2.5
Replit-Export-Tool,"3:46 pm, Feb 03, 2026",27 seconds,2,,,,0.24
Replit-Export-Tool,"3:46 pm, Feb 03, 2026",1 minute,11,140,42,21,0.82
Replit-Export-Tool,"3:46 pm, Feb 03, 2026",27 seconds,3,70,,,0.16
Replit-Export-Tool,"3:46 pm, Feb 03, 2026",1 minute,2,,12,9,0.11